Date,Shift,Operator,OutputUnits,Defects,DowntimeHrs
2025-07-01,Night,OP_03,99,4,1.1
2025-07-01,Night,OP_04,65,4,1.21
2025-07-01,Night,OP_12,94,5,0.27
2025-07-01,Night,OP_05,95,4,0.45
2025-07-01,Night,OP_10,90,4,0.6
2025-07-01,Night,OP_19,99,3,0.8
2025-07-02,Day,OP_24,85,3,1.32
2025-07-02,Day,OP_02,97,3,0.28
2025-07-02,Day,OP_23,112,3,0.5
2025-07-02,Day,OP_10,107,3,1.27
2025-07-02,Day,OP_04,118,1,0.86
2025-07-02,Day,OP_25,84,1,0.17
2025-07-02,Day,OP_17,116,2,1.54
2025-07-02,Day,OP_18,93,3,0.84
2025-07-02,Day,OP_22,107,3,1.75
2025-07-02,Day,OP_09,91,3,0.72
2025-07-02,Day,OP_11,106,2,0.73
2025-07-02,Day,OP_14,120,2,1.54
2025-07-02,Day,OP_13,111,3,1.72
2025-07-02,Day,OP_01,88,0,0.8
2025-07-02,Day,OP_15,101,2,1.0
2025-07-02,Day,OP_07,86,2,0.77
2025-07-02,Day,OP_08,83,2,1.88
2025-07-02,Day,OP_20,97,3,1.56
2025-07-02,Day,OP_05,82,1,0.14
2025-07-02,Day,OP_12,99,3,0.12
2025-07-02,Evening,OP_06,118,0,1.9
2025-07-02,Evening,OP_08,85,2,0.5
2025-07-02,Evening,OP_23,115,1,1.37
2025-07-02,Evening,OP_21,110,3,1.1
2025-07-02,Evening,OP_13,115,1,0.29
2025-07-02,Evening,OP_12,86,3,0.94
2025-07-02,Evening,OP_01,117,1,1.09
2025-07-02,Evening,OP_04,105,0,0.6
2025-07-02,Evening,OP_05,94,2,0.93
2025-07-02,Evening,OP_24,83,0,1.96
2025-07-02,Evening,OP_22,85,1,1.59
2025-07-02,Evening,OP_17,105,2,0.04
2025-07-02,Evening,OP_20,89,3,1.94
2025-07-02,Evening,OP_03,98,2,0.86
2025-07-02,Evening,OP_07,88,3,0.05
2025-07-02,Evening,OP_02,88,2,0.29
2025-07-02,Evening,OP_19,103,1,1.13
2025-07-02,Evening,OP_14,97,1,1.66
2025-07-02,Evening,OP_16,118,3,0.02
2025-07-02,Evening,OP_10,119,1,0.54
2025-07-02,Night,OP_24,94,6,1.02
2025-07-02,Night,OP_02,89,2,0.65
2025-07-02,Night,OP_25,100,6,1.76
2025-07-02,Night,OP_10,61,4,1.33
2025-07-02,Night,OP_11,62,3,1.72
2025-07-02,Night,OP_06,98,4,1.97
2025-07-02,Night,OP_08,64,6,0.26
2025-07-02,Night,OP_01,78,3,0.31
2025-07-02,Night,OP_12,93,2,0.23
2025-07-02,Night,OP_07,87,2,1.55
2025-07-02,Night,OP_16,69,3,0.94
2025-07-02,Night,OP_21,87,4,1.39
2025-07-02,Night,OP_03,95,5,1.68
2025-07-02,Night,OP_17,96,4,0.06
2025-07-02,Night,OP_13,80,2,0.14
2025-07-02,Night,OP_19,66,5,1.0
2025-07-02,Night,OP_14,78,6,1.3
2025-07-02,Night,OP_15,91,4,0.36
2025-07-02,Night,OP_23,66,4,0.31
2025-07-02,Night,OP_22,74,6,1.33
2025-07-03,Day,OP_09,109,1,0.32
2025-07-03,Day,OP_22,93,3,0.05
2025-07-03,Day,OP_12,120,3,1.97
2025-07-03,Day,OP_06,109,0,1.51
2025-07-03,Day,OP_21,110,2,0.15
2025-07-03,Day,OP_04,80,3,1.89
2025-07-03,Day,OP_25,106,2,1.86
2025-07-03,Day,OP_16,91,1,1.65
2025-07-03,Day,OP_05,105,2,1.77
2025-07-03,Day,OP_23,88,3,1.38
2025-07-03,Day,OP_11,102,3,1.3
2025-07-03,Day,OP_08,101,3,1.03
2025-07-03,Day,OP_10,100,3,1.38
2025-07-03,Day,OP_20,93,1,1.02
2025-07-03,Day,OP_07,108,0,1.46
2025-07-03,Day,OP_18,99,2,1.56
2025-07-03,Day,OP_15,110,1,1.88
2025-07-03,Day,OP_24,94,1,1.55
2025-07-03,Day,OP_17,103,0,0.27
2025-07-03,Day,OP_19,107,0,0.33
2025-07-03,Evening,OP_01,106,1,0.78
2025-07-03,Evening,OP_24,102,3,0.45
2025-07-03,Evening,OP_15,89,1,1.54
2025-07-03,Evening,OP_17,88,2,0.97
2025-07-03,Evening,OP_04,82,3,0.8
2025-07-03,Evening,OP_14,114,1,0.8
2025-07-03,Evening,OP_20,95,1,1.6
2025-07-03,Evening,OP_16,88,3,1.05
2025-07-03,Evening,OP_07,105,3,0.13
2025-07-03,Evening,OP_25,114,0,0.75
2025-07-03,Evening,OP_06,84,0,0.76
2025-07-03,Evening,OP_21,115,3,0.25
2025-07-03,Evening,OP_02,107,3,1.15
2025-07-03,Evening,OP_05,116,0,0.52
2025-07-03,Evening,OP_19,86,2,1.83
2025-07-03,Evening,OP_18,93,2,1.0
2025-07-03,Evening,OP_03,111,2,0.56
2025-07-03,Evening,OP_08,107,0,0.38
2025-07-03,Evening,OP_11,120,0,0.35
2025-07-03,Evening,OP_09,99,0,1.12
2025-07-03,Night,OP_05,96,5,1.32
2025-07-03,Night,OP_03,85,3,0.86
2025-07-03,Night,OP_21,91,6,0.38
2025-07-03,Night,OP_24,82,3,1.83
2025-07-03,Night,OP_10,79,6,1.28
2025-07-03,Night,OP_23,94,5,0.58
2025-07-03,Night,OP_13,91,3,0.91
2025-07-03,Night,OP_08,80,2,0.95
2025-07-03,Night,OP_20,99,5,1.69
2025-07-03,Night,OP_22,84,3,1.21
2025-07-03,Night,OP_07,83,4,0.29
2025-07-03,Night,OP_17,89,5,1.4
2025-07-03,Night,OP_19,76,2,0.83
2025-07-03,Night,OP_04,69,6,0.87
2025-07-03,Night,OP_14,92,5,0.56
2025-07-03,Night,OP_15,99,2,0.63
2025-07-03,Night,OP_16,61,5,0.06
2025-07-03,Night,OP_12,74,6,1.32
2025-07-03,Night,OP_18,100,6,1.8
2025-07-03,Night,OP_25,62,6,1.37
2025-07-04,Day,OP_05,106,1,0.21
2025-07-04,Day,OP_21,100,2,0.78
2025-07-04,Day,OP_09,99,0,1.83
2025-07-04,Day,OP_16,118,2,0.51
2025-07-04,Day,OP_07,100,2,0.4
2025-07-04,Day,OP_02,100,0,1.18
2025-07-04,Day,OP_25,83,0,1.28
2025-07-04,Day,OP_19,83,2,0.28
2025-07-04,Day,OP_23,108,3,0.44
2025-07-04,Day,OP_03,104,0,1.45
2025-07-04,Day,OP_06,84,3,0.13
2025-07-04,Day,OP_11,101,3,0.58
2025-07-04,Day,OP_10,98,1,1.26
2025-07-04,Day,OP_17,102,1,0.59
2025-07-04,Day,OP_15,89,0,1.87
2025-07-04,Day,OP_13,113,0,1.18
2025-07-04,Day,OP_12,108,1,1.81
2025-07-04,Day,OP_20,118,3,1.6
2025-07-04,Day,OP_04,109,2,1.13
2025-07-04,Day,OP_22,89,1,1.57
2025-07-04,Evening,OP_06,98,3,1.98
2025-07-04,Evening,OP_16,106,0,0.78
2025-07-04,Evening,OP_13,120,3,1.71
2025-07-04,Evening,OP_02,93,2,0.16
2025-07-04,Evening,OP_14,120,0,0.41
2025-07-04,Evening,OP_05,115,3,0.75
2025-07-04,Evening,OP_19,95,0,1.42
2025-07-04,Evening,OP_12,117,1,0.48
2025-07-04,Evening,OP_08,89,3,1.63
2025-07-04,Evening,OP_17,118,3,0.37
2025-07-04,Evening,OP_01,118,0,0.26
2025-07-04,Evening,OP_09,97,1,1.32
2025-07-04,Evening,OP_21,109,1,1.9
2025-07-04,Evening,OP_15,101,2,1.44
2025-07-04,Evening,OP_03,95,1,1.99
2025-07-04,Evening,OP_11,90,3,2.0
2025-07-04,Evening,OP_20,105,2,0.71
2025-07-04,Evening,OP_22,99,2,0.88
2025-07-04,Evening,OP_04,84,3,0.42
2025-07-04,Evening,OP_10,105,1,0.33
2025-07-04,Night,OP_08,91,4,1.11
2025-07-04,Night,OP_19,83,4,1.03
2025-07-04,Night,OP_17,87,6,0.97
2025-07-04,Night,OP_09,80,6,0.54
2025-07-04,Night,OP_11,80,4,0.9
2025-07-04,Night,OP_02,100,2,1.09
2025-07-04,Night,OP_12,87,5,1.01
2025-07-04,Night,OP_13,100,4,0.04
2025-07-04,Night,OP_20,72,2,1.87
2025-07-04,Night,OP_25,95,5,0.27
2025-07-04,Night,OP_10,99,5,1.78
2025-07-04,Night,OP_05,83,6,0.63
2025-07-04,Night,OP_24,97,6,1.06
2025-07-04,Night,OP_07,77,6,0.62
2025-07-04,Night,OP_15,74,2,0.57
2025-07-04,Night,OP_23,95,6,0.54
2025-07-04,Night,OP_22,95,6,1.54
2025-07-04,Night,OP_03,63,4,0.06
2025-07-04,Night,OP_21,79,6,0.94
2025-07-04,Night,OP_01,99,3,0.28
2025-07-05,Day,OP_11,116,3,0.99
2025-07-05,Day,OP_13,82,1,0.16
2025-07-05,Day,OP_07,114,0,0.32
2025-07-05,Day,OP_15,114,2,1.5
2025-07-05,Day,OP_22,120,1,1.91
2025-07-05,Day,OP_24,115,0,1.04
2025-07-05,Day,OP_09,92,1,1.12
2025-07-05,Day,OP_02,92,2,0.59
2025-07-05,Day,OP_23,84,1,1.07
2025-07-05,Day,OP_06,93,1,1.4
2025-07-05,Day,OP_16,105,3,0.13
2025-07-05,Day,OP_04,109,0,0.85
2025-07-05,Day,OP_18,115,1,1.91
2025-07-05,Day,OP_01,100,2,1.3
2025-07-05,Day,OP_19,118,0,1.94
2025-07-05,Day,OP_03,89,1,0.11
2025-07-05,Day,OP_14,112,2,0.96
2025-07-05,Day,OP_25,101,2,1.22
2025-07-05,Day,OP_17,93,0,0.96
2025-07-05,Day,OP_05,85,1,0.34
2025-07-05,Evening,OP_09,118,1,0.27
2025-07-05,Evening,OP_07,117,2,0.6
2025-07-05,Evening,OP_24,109,2,2.0
2025-07-05,Evening,OP_23,111,0,1.33
2025-07-05,Evening,OP_19,113,2,0.29
2025-07-05,Evening,OP_02,104,3,0.72
2025-07-05,Evening,OP_12,82,0,0.69
2025-07-05,Evening,OP_25,114,3,1.05
2025-07-05,Evening,OP_18,85,2,1.47
2025-07-05,Evening,OP_04,86,1,0.99
2025-07-05,Evening,OP_16,112,1,1.66
2025-07-05,Evening,OP_20,110,2,1.62
2025-07-05,Evening,OP_17,93,0,1.18
2025-07-05,Evening,OP_01,88,2,0.58
2025-07-05,Evening,OP_21,85,3,0.31
2025-07-05,Evening,OP_11,101,1,1.61
2025-07-05,Evening,OP_22,98,0,1.88
2025-07-05,Evening,OP_15,120,2,1.89
2025-07-05,Evening,OP_10,115,0,0.7
2025-07-05,Evening,OP_08,107,2,0.06
2025-07-05,Night,OP_05,62,3,0.05
2025-07-05,Night,OP_14,73,3,1.65
2025-07-05,Night,OP_01,79,4,1.65
2025-07-05,Night,OP_25,75,6,1.73
2025-07-05,Night,OP_04,84,2,1.16
2025-07-05,Night,OP_19,63,4,1.8
2025-07-05,Night,OP_10,77,4,1.03
2025-07-05,Night,OP_11,82,6,0.64
2025-07-05,Night,OP_15,69,6,1.69
2025-07-05,Night,OP_12,91,2,1.13
2025-07-05,Night,OP_18,61,5,0.27
2025-07-05,Night,OP_23,76,3,0.6
2025-07-05,Night,OP_13,64,2,1.09
2025-07-05,Night,OP_20,69,5,0.08
2025-07-05,Night,OP_03,64,5,0.88
2025-07-05,Night,OP_09,87,4,1.51
2025-07-05,Night,OP_16,87,3,1.22
2025-07-05,Night,OP_24,66,6,0.34
2025-07-05,Night,OP_08,78,4,0.48
2025-07-05,Night,OP_22,63,6,0.81
2025-07-06,Day,OP_15,82,0,1.58
2025-07-06,Day,OP_20,116,0,1.0
2025-07-06,Day,OP_10,105,1,0.9
2025-07-06,Day,OP_04,101,0,0.67
2025-07-06,Day,OP_12,104,1,0.52
2025-07-06,Day,OP_11,81,0,0.65
2025-07-06,Day,OP_05,104,3,0.06
2025-07-06,Day,OP_19,95,2,0.33
2025-07-06,Day,OP_06,102,2,1.99
2025-07-06,Day,OP_17,107,3,1.54
2025-07-06,Day,OP_24,117,2,0.61
2025-07-06,Day,OP_03,97,2,1.71
2025-07-06,Day,OP_18,114,0,1.21
2025-07-06,Day,OP_07,83,1,1.01
2025-07-06,Day,OP_01,88,2,1.05
2025-07-06,Day,OP_13,109,0,1.02
2025-07-06,Day,OP_08,105,2,1.96
2025-07-06,Day,OP_25,114,3,0.55
2025-07-06,Day,OP_23,91,3,1.6
2025-07-06,Day,OP_14,98,0,1.63
2025-07-06,Evening,OP_06,90,1,1.99
2025-07-06,Evening,OP_05,100,1,0.34
2025-07-06,Evening,OP_15,112,3,0.2
2025-07-06,Evening,OP_13,94,2,0.25
2025-07-06,Evening,OP_04,112,3,1.72
2025-07-06,Evening,OP_08,84,0,0.08
2025-07-06,Evening,OP_07,80,1,0.55
2025-07-06,Evening,OP_22,107,2,0.11
2025-07-06,Evening,OP_25,104,3,1.36
2025-07-06,Evening,OP_16,80,1,0.95
2025-07-06,Evening,OP_24,97,1,0.86
2025-07-06,Evening,OP_03,95,3,1.04
2025-07-06,Evening,OP_10,98,0,0.85
2025-07-06,Evening,OP_21,92,1,1.23
2025-07-06,Evening,OP_23,90,0,1.79
2025-07-06,Evening,OP_09,120,0,1.61
2025-07-06,Evening,OP_01,109,0,0.46
2025-07-06,Evening,OP_19,118,3,0.9
2025-07-06,Evening,OP_14,80,1,1.99
2025-07-06,Evening,OP_12,98,1,1.68
2025-07-06,Night,OP_24,70,6,1.9
2025-07-06,Night,OP_02,78,6,1.63
2025-07-06,Night,OP_23,79,3,1.69
2025-07-06,Night,OP_18,98,5,1.82
2025-07-06,Night,OP_05,99,4,0.99
2025-07-06,Night,OP_13,89,3,0.64
2025-07-06,Night,OP_07,82,5,1.73
2025-07-06,Night,OP_01,81,5,1.67
2025-07-06,Night,OP_11,85,3,1.82
2025-07-06,Night,OP_06,97,5,0.55
2025-07-06,Night,OP_09,98,5,0.0
2025-07-06,Night,OP_16,87,3,1.44
2025-07-06,Night,OP_22,78,5,0.06
2025-07-06,Night,OP_17,85,4,1.95
2025-07-06,Night,OP_14,85,6,1.34
2025-07-06,Night,OP_08,72,2,0.68
2025-07-06,Night,OP_04,75,3,0.75
2025-07-06,Night,OP_15,95,2,0.2
2025-07-06,Night,OP_03,86,5,0.74
2025-07-06,Night,OP_19,84,4,1.87
2025-07-07,Day,OP_10,105,3,1.55
2025-07-07,Day,OP_09,110,3,0.71
2025-07-07,Day,OP_15,111,3,1.26
2025-07-07,Day,OP_22,88,3,0.14
2025-07-07,Day,OP_05,98,2,0.51
2025-07-07,Day,OP_11,111,2,0.68
2025-07-07,Day,OP_23,101,1,0.14
2025-07-07,Day,OP_07,116,3,0.86
2025-07-07,Day,OP_16,86,0,1.11
2025-07-07,Day,OP_06,102,2,0.58
2025-07-07,Day,OP_13,91,2,1.79
2025-07-07,Day,OP_17,81,2,1.44
2025-07-07,Day,OP_04,92,2,0.05
2025-07-07,Day,OP_20,113,0,1.32
2025-07-07,Day,OP_24,116,1,1.06
2025-07-07,Day,OP_21,118,2,0.52
2025-07-07,Day,OP_14,81,0,0.72
2025-07-07,Day,OP_18,116,3,1.64
2025-07-07,Day,OP_25,100,3,0.32
2025-07-07,Day,OP_12,106,1,1.73
2025-07-07,Evening,OP_07,94,3,0.63
2025-07-07,Evening,OP_24,91,1,1.46
2025-07-07,Evening,OP_18,81,0,1.48
2025-07-07,Evening,OP_17,110,1,1.05
2025-07-07,Evening,OP_13,112,2,1.25
2025-07-07,Evening,OP_19,114,1,1.44
2025-07-07,Evening,OP_15,114,3,1.45
2025-07-07,Evening,OP_14,105,3,0.64
2025-07-07,Evening,OP_02,107,0,0.76
2025-07-07,Evening,OP_06,88,2,0.95
2025-07-07,Evening,OP_03,112,1,0.3
2025-07-07,Evening,OP_22,120,3,1.27
2025-07-07,Evening,OP_10,106,0,0.24
2025-07-07,Evening,OP_16,109,0,0.4
2025-07-07,Evening,OP_08,97,2,0.76
2025-07-07,Evening,OP_20,90,1,0.57
2025-07-07,Evening,OP_05,95,3,1.52
2025-07-07,Evening,OP_09,117,0,0.48
2025-07-07,Evening,OP_23,117,1,0.83
2025-07-07,Evening,OP_12,80,0,0.07
2025-07-07,Night,OP_13,67,5,1.95
2025-07-07,Night,OP_16,92,4,0.88
2025-07-07,Night,OP_08,78,2,1.67
2025-07-07,Night,OP_20,64,6,0.46
2025-07-07,Night,OP_19,89,4,1.66
2025-07-07,Night,OP_03,78,4,1.25
2025-07-07,Night,OP_25,91,3,0.97
2025-07-07,Night,OP_22,80,6,0.12
2025-07-07,Night,OP_12,88,6,1.76
2025-07-07,Night,OP_02,84,3,0.49
2025-07-07,Night,OP_14,66,6,0.8
2025-07-07,Night,OP_18,69,4,0.41
2025-07-07,Night,OP_17,66,3,0.42
2025-07-07,Night,OP_11,97,4,0.8
2025-07-07,Night,OP_04,95,6,1.02
2025-07-07,Night,OP_23,77,2,0.85
2025-07-07,Night,OP_21,72,3,0.62
2025-07-07,Night,OP_09,69,4,0.2
2025-07-07,Night,OP_05,98,2,0.98
2025-07-07,Night,OP_10,60,3,0.05
